index	frame_id	xray_file_base_name	photo_file_name	specimen_position_in_frame	field_id	individual_id	xray_preprocessor_name	xray_preprocessed	xray_cropped_individual	photo_processor_name	is_photo_rearranged_relative_to_xray	photo_cropped-scaled	landmarks_registering_photo_to_xray	photo_warped	xray_postprocessor_name	xray_accentuated-edges	xray_accentuated-skeleton	xray_overalayed_accentuated-edges-skeleton	xray_overlayed_on_warped_photo	notes_file_processing
129	33	sde_xray_033	20241211_164023.jpg	1	Sde-C-0157-E	Sde-CMat_153	Chris Bird	sde_xray_033_bckgrnd-despeck-inv-scaled.tif												
130	33	sde_xray_033	20241211_164023.jpg	2	NA	Sde-AMat_045	Chris Bird	sde_xray_033_bckgrnd-despeck-inv-scaled.tif												
131	33	sde_xray_033	20241211_164023.jpg	3	Sde-C-0178-E	Sde-CMat_174	Chris Bird	sde_xray_033_bckgrnd-despeck-inv-scaled.tif												
132	33	sde_xray_033	20241211_164023.jpg	4	NA	Sde-AMat_041	Chris Bird	sde_xray_033_bckgrnd-despeck-inv-scaled.tif												
133	34	sde_xray_034	20241211_164550.jpg	1	Sde-C-0160-E	Sde-CMat_156	Chris Bird	sde_xray_034_bckgrnd-despeck-inv-scaled.tif												
134	34	sde_xray_034	20241211_164550.jpg	2	NA	Sde-AMat_021	Chris Bird	sde_xray_034_bckgrnd-despeck-inv-scaled.tif												
135	34	sde_xray_034	20241211_164550.jpg	3	Sde-C-0155-E	Sde-CMat_151	Chris Bird	sde_xray_034_bckgrnd-despeck-inv-scaled.tif												
136	34	sde_xray_034	20241211_164550.jpg	4	NA	Sde-AMat_009	Chris Bird	sde_xray_034_bckgrnd-despeck-inv-scaled.tif												
137	35	sde_xray_035	20241211_165118.jpg	1	Sde-C-0173-E	Sde-CMat_169	Chris Bird	sde_xray_035_bckgrnd-despeck-inv-scaled.tif												
138	35	sde_xray_035	20241211_165118.jpg	2	NA	Sde-AMat_034	Chris Bird	sde_xray_035_bckgrnd-despeck-inv-scaled.tif												
139	35	sde_xray_035	20241211_165118.jpg	3	Sde-C-0168-E	Sde-CMat_164	Chris Bird	sde_xray_035_bckgrnd-despeck-inv-scaled.tif												
140	35	sde_xray_035	20241211_165118.jpg	4	NA	Sde-AMat_031	Chris Bird	sde_xray_035_bckgrnd-despeck-inv-scaled.tif												
141	36	sde_xray_036	20241211_165633.jpg	1	Sde-C-0186-E	Sde-CMat_182	Chris Bird	sde_xray_036_bckgrnd-despeck-inv-scaled.tif												
142	36	sde_xray_036	20241211_165633.jpg	2	NA	Sde-AMat_019	Chris Bird	sde_xray_036_bckgrnd-despeck-inv-scaled.tif												
143	36	sde_xray_036	20241211_165633.jpg	3	Sde-C-0162-E	Sde-CMat_158	Chris Bird	sde_xray_036_bckgrnd-despeck-inv-scaled.tif												
144	36	sde_xray_036	20241211_165633.jpg	4	NA	Sde-AMat_002	Chris Bird	sde_xray_036_bckgrnd-despeck-inv-scaled.tif												
